,index,Total:,    Population_of_one_race:,        White_alone,        Black_or_African_American_alone,        American_Indian_and_Alaska_Native_alone,        Asian_alone,        Native_Hawaiian_and_Other_Pacific_Islander_alone,        Some_Other_Race_alone,year
158,"Mississippi County, Arkansas","40,685","38,908","23,208","14,323",99,245,8,"1,025",2020
158,"Monroe County, Arkansas","8,149","8,053","4,584","3,330",29,36,0,74,2010
159,"Montgomery County, Arkansas","9,487","9,298","8,958",22,79,50,2,187,2010
159,"Monroe County, Arkansas","6,799","6,542","3,568","2,760",35,28,7,144,2020
160,"Nevada County, Arkansas","8,997","8,875","5,933","2,764",31,23,1,123,2010
160,"Montgomery County, Arkansas","8,484","7,979","7,577",18,103,50,5,226,2020
161,"Nevada County, Arkansas","8,310","7,927","5,218","2,444",45,45,0,175,2020
161,"Newton County, Arkansas","8,330","8,148","8,001",9,90,25,1,22,2010
162,"Newton County, Arkansas","7,225","6,824","6,689",7,71,24,2,31,2020
162,"Ouachita County, Arkansas","26,120 (r39094)","25,700","14,883","10,468",86,95,6,162,2010
163,"Perry County, Arkansas","10,445","10,275","9,939",196,70,17,2,51,2010
163,"Ouachita County, Arkansas","22,650","21,518","12,194","8,899",71,126,3,225,2020
164,"Phillips County, Arkansas","21,757","21,551","7,618","13,719",51,67,1,95,2010
164,"Perry County, Arkansas","10,019","9,452","9,165",107,54,12,1,113,2020
165,"Phillips County, Arkansas","16,568","16,159","5,616","10,343",44,65,4,87,2020
165,"Pike County, Arkansas","11,291","11,106","10,163",330,70,57,1,485,2010
166,"Poinsett County, Arkansas","24,583","24,253","22,089","1,775",59,45,4,281,2010
166,"Pike County, Arkansas","10,171","9,543","8,681",241,94,16,2,509,2020
167,"Polk County, Arkansas","20,662","20,184","19,144",65,364,94,5,512,2010
167,"Poinsett County, Arkansas","22,965","21,799","19,391","1,783",102,61,1,461,2020
168,"Pope County, Arkansas","61,754","60,388","55,273","1,784",471,605,25,"2,230",2010
168,"Polk County, Arkansas","19,221","17,563","16,428",43,366,100,9,617,2020
169,"Prairie County, Arkansas","8,715","8,635","7,529","1,064",26,6,0,10,2010
169,"Pope County, Arkansas","63,381","58,219","51,409","2,100",609,679,23,"3,399",2020
170,"Pulaski County, Arkansas","382,748","374,887","220,051","133,858","1,555","7,505",272,"11,646",2010
170,"Prairie County, Arkansas","8,282","7,980","6,964",925,23,21,3,44,2020
171,"Randolph County, Arkansas","17,969","17,717","17,339",128,90,32,5,123,2010
171,"Pulaski County, Arkansas","399,125","373,831","199,197","143,548","2,226","10,035",225,"18,600",2020
172,"St. Francis County, Arkansas","28,258","27,848","12,502","14,667",148,136,9,386,2010
172,"Randolph County, Arkansas","18,571","17,721","16,684",140,87,75,596,139,2020
173,"Saline County, Arkansas","107,118","105,587","96,978","4,994",542,931,17,"2,125",2010
173,"St. Francis County, Arkansas","23,090","22,501","9,551","12,561",65,127,8,189,2020
174,"Scott County, Arkansas","11,233","10,951","9,880",53,208,384,3,423,2010
174,"Saline County, Arkansas","123,416","115,441","98,388","10,414",833,"1,467",71,"4,268",2020
175,"Searcy County, Arkansas","8,195","8,014","7,867",12,96,11,2,26,2010
175,"Scott County, Arkansas","9,836","9,097","8,210",35,211,278,5,358,2020
176,"Sebastian County, Arkansas","125,744","121,225","96,344","8,019","2,366","5,102",109,"9,285",2010
176,"Searcy County, Arkansas","7,828","7,272","7,123",5,73,20,5,46,2020
177,"Sevier County, Arkansas","17,058","16,535","11,949",734,398,63,4,"3,387",2010
177,"Sebastian County, Arkansas","127,799","114,077","86,828","8,061","2,890","5,789",105,"10,404",2020
178,"Sharp County, Arkansas","17,264","16,969","16,582",93,170,50,2,72,2010
178,"Sevier County, Arkansas","15,839","14,051","9,594",578,478,65,248,"3,088",2020
179,"Stone County, Arkansas","12,394","12,194","11,995",11,84,45,4,55,2010
179,"Sharp County, Arkansas","17,271","16,336","15,876",118,126,60,20,136,2020
180,"Union County, Arkansas","41,639","41,117","26,276","13,721",143,207,14,756,2010
180,"Stone County, Arkansas","12,359","11,732","11,488",21,103,30,2,88,2020
181,"Union County, Arkansas","39,054","37,436","23,216","12,729",150,280,16,"1,045",2020
181,"Van Buren County, Arkansas","17,295","16,956","16,598",68,119,56,2,113,2010
182,"Van Buren County, Arkansas","15,796","14,951","14,485",77,133,56,0,200,2020
182,"Washington County, Arkansas","203,065","197,366","162,253","6,006","2,393","4,416","4,128","18,170",2010
183,"Washington County, Arkansas","245,871","220,051","168,351","8,652","3,573","5,718","8,799","24,958",2020
183,"White County, Arkansas","77,076","75,662","70,425","3,074",449,419,36,"1,259",2010
184,"White County, Arkansas","76,822","71,724","65,237","3,728",368,623,31,"1,737",2020
184,"Woodruff County, Arkansas","7,260","7,156","5,075","1,994",18,15,5,49,2010
185,"Woodruff County, Arkansas","6,269","5,951","4,255","1,613",8,22,0,53,2020
185,"Yell County, Arkansas","22,185","21,797","19,226",307,149,287,11,"1,817",2010
186,"Yell County, Arkansas","20,263","18,535","15,330",251,197,202,13,"2,542",2020
186,"Alameda County, California","1,510,271","1,419,274","649,122","190,451","9,799","394,560","12,802","162,540",2010
187,"Alameda County, California","1,682,353","1,491,537","523,836","164,879","19,659","545,261","14,123","223,779",2020
187,"Alpine County, California","1,175","1,147",881,0,240,7,0,19,2010
188,"Amador County, California","38,091","36,735","33,149",962,678,419,77,"1,450",2010
188,"Alpine County, California","1,204","1,085",814,10,236,12,0,13,2020
189,"Butte County, California","220,000","209,556","180,096","3,415","4,395","9,057",452,"12,141",2010
189,"Amador County, California","40,474","36,596","31,104","1,236",757,582,82,"2,835",2020
190,"Calaveras County, California","45,578","43,778","40,522",383,689,571,79,"1,534",2010
190,"Butte County, California","211,632","186,947","149,557","3,644","4,492","10,533",573,"18,148",2020
191,"Colusa County, California","21,419","20,655","13,854",195,419,281,68,"5,838",2010
191,"Calaveras County, California","45,292","40,264","36,315",364,747,743,100,"1,995",2020
192,"Contra Costa County, California","1,049,025","986,800","614,512","97,161","6,122","151,469","4,845","112,691",2010
192,"Colusa County, California","21,839","17,580","9,364",198,513,276,80,"7,149",2020
193,"Del Norte County, California","28,610","27,312","21,098",993,"2,244",965,32,"1,980",2010
193,"Contra Costa County, California","1,165,927","1,012,452","501,697","101,485","12,043","217,823","6,250","173,154",2020
194,"El Dorado County, California","181,058","174,141","156,793","1,409","2,070","6,297",294,"7,278",2010
194,"Del Norte County, California","27,743","24,304","17,193",855,"2,434",840,46,"2,936",2020
195,"Fresno County, California","930,450","888,164","515,145","49,523","15,649","89,357","1,405","217,085",2010
195,"El Dorado County, California","191,185","169,237","146,624","1,537","1,929","9,200",313,"9,634",2020
196,"Glenn County, California","28,122","27,108","19,990",231,619,722,24,"5,522",2010
196,"Fresno County, California","1,008,654","845,251","374,678","48,707","22,043","113,328","1,665","284,830",2020
197,"Glenn County, California","28,917","24,971","15,753",177,"1,092",647,49,"7,253",2020
197,"Humboldt County, California","134,623","127,450","109,920","1,505","7,726","2,944",352,"5,003",2010
198,"Humboldt County, California","136,463","120,307","98,095","1,879","8,481","3,615",455,"7,782",2020
198,"Imperial County, California","174,528","166,806","102,553","5,773","3,059","2,843",165,"52,413",2010
199,"Imperial County, California","179,702","129,907","47,537","4,362","4,266","3,049",165,"70,528",2020
199,"Inyo County, California","18,546","17,906","13,741",109,"2,121",243,16,"1,676",2010
200,"Inyo County, California","19,016","16,888","11,752",97,"2,473",282,17,"2,267",2020
200,"Kern County, California","839,631","801,775","499,766","48,921","12,676","34,846","1,252","204,314",2010
201,"Kern County, California","909,235","762,465","371,734","50,130","18,163","46,777","1,508","274,153",2020
201,"Kings County, California","152,982","145,490","83,027","11,014","2,562","5,620",271,"42,996",2010
202,"Lake County, California","64,665","61,601","52,033","1,232","2,049",724,108,"5,455",2010
202,"Kings County, California","152,486","128,256","61,226","9,023","3,671","5,923",412,"48,001",2020
203,"Lassen County, California","34,895","33,683","25,532","2,834","1,234",356,165,"3,562",2010
203,"Lake County, California","68,163","59,222","46,858","1,199","2,356","1,004",106,"7,699",2020
204,"Los Angeles County, California","9,818,605","9,379,892","4,936,599","856,874","72,828","1,346,865","26,094","2,140,632",2010
204,"Lassen County, California","32,730","30,140","21,066","2,277","1,088",494,285,"4,930",2020
205,"Los Angeles County, California","10,014,009","8,525,941","3,259,427","794,364","163,464","1,499,984","24,522","2,784,180",2020
205,"Madera County, California","150,865","144,565","94,456","5,629","4,136","2,802",162,"37,380",2010
206,"Madera County, California","156,255","130,901","65,248","4,596","7,674","3,907",173,"49,303",2020
206,"Marin County, California","252,409","241,716","201,963","6,987","1,523","13,761",509,"16,973",2010
207,"Marin County, California","262,321","232,636","179,377","6,339","3,996","16,431",493,"26,000",2020
207,"Mariposa County, California","18,251","17,506","16,103",138,527,204,26,508,2010
208,"Mendocino County, California","87,841","83,871","67,218",622,"4,277","1,450",119,"10,185",2010
208,"Mariposa County, California","17,131","15,099","13,385",108,497,298,15,796,2020
209,"Mendocino County, California","91,601","79,534","59,510",642,"4,679","1,788",138,"12,777",2020
209,"Merced County, California","255,793","243,864","148,381","9,926","3,473","18,836",583,"62,665",2010
210,"Modoc County, California","9,686","9,315","8,084",82,370,78,21,680,2010
210,"Merced County, California","281,202","231,847","104,534","9,158","7,518","20,715",807,"89,115",2020
211,"Mono County, California","14,202","13,788","11,697",47,302,192,11,"1,539",2010
211,"Modoc County, California","8,700","7,961","6,772",67,446,61,13,602,2020
212,"Mono County, California","13,195","11,611","9,349",74,295,163,31,"1,699",2020
212,"Monterey County, California","415,057","393,700","230,717","12,785","5,464","25,258","2,071","117,405",2010
213,"Napa County, California","136,484","130,904","97,525","2,668","1,058","9,223",372,"20,058",2010
213,"Monterey County, California","439,035","360,576","158,879","9,943","12,781","26,680","2,132","150,161",2020
214,"Nevada County, California","98,764","95,641","90,233",389,"1,044","1,187",110,"2,678",2010
214,"Napa County, California","138,019","117,282","76,158","2,443","1,949","10,753",348,"25,631",2020
215,"Orange County, California","3,010,232","2,882,433","1,830,758","50,744","18,132","537,804","9,354","435,641",2010
215,"Nevada County, California","102,241","92,144","85,604",460,"1,012","1,427",147,"3,494",2020
216,"Orange County, California","3,186,989","2,739,808","1,383,257","53,842","38,322","706,813","9,035","548,539",2020
216,"Placer County, California","348,432","333,327","290,977","4,751","3,011","20,435",778,"13,375",2010
217,"Placer County, California","404,739","355,864","288,586","6,890","3,547","35,500","1,117","20,224",2020
217,"Plumas County, California","20,007","19,283","17,797",192,539,134,18,603,2010
218,"Riverside County, California","2,189,641","2,084,977","1,335,147","140,543","23,710","130,468","6,874","448,235",2010
218,"Plumas County, California","19,790","17,960","16,608",103,453,152,44,600,2020
219,"Riverside County, California","2,418,185","2,012,514","995,627","156,477","43,808","171,243","8,116","637,243",2020
219,"Sacramento County, California","1,418,788","1,325,277","815,151","147,058","14,308","203,211","13,858","131,691",2010
220,"San Benito County, California","55,269","52,567","35,181",483,895,"1,443",94,"14,471",2010
220,"Sacramento County, California","1,585,055","1,373,386","715,722","152,795","18,637","281,733","18,914","185,585",2020
221,"San Benito County, California","64,209","52,739","27,230",634,"1,647","2,423",176,"20,629",2020
221,"San Bernardino County, California","2,035,210","1,932,846","1,153,161","181,862","22,689","128,603","6,870","439,661",2010
222,"San Bernardino County, California","2,181,654","1,819,800","782,691","184,558","41,663","182,287","7,461","621,140",2020
222,"San Diego County, California","3,095,313","2,936,888","1,981,442","158,213","26,340","336,091","15,337","419,465",2010
223,"San Diego County, California","3,298,634","2,776,942","1,633,129","155,813","40,968","410,752","15,286","520,994",2020
223,"San Francisco County, California","805,235","767,576","390,387","48,870","4,024","267,915","3,359","53,021",2010
224,"San Francisco County, California","873,965","787,732","361,382","46,725","6,475","296,505","3,476","73,169",2020
224,"San Joaquin County, California","685,306","641,511","349,287","51,744","7,196","98,472","3,758","131,054",2010
225,"San Joaquin County, California","779,233","666,428","267,339","60,351","12,107","139,323","5,567","181,741",2020
225,"San Luis Obispo County, California","269,637","259,524","222,756","5,550","2,536","8,507",389,"19,786",2010
226,"San Mateo County, California","718,451","680,241","383,535","20,436","3,306","178,118","10,317","84,529",2010
226,"San Luis Obispo County, California","282,424","244,366","198,338","4,610","3,159","10,402",413,"27,444",2020
227,"Santa Barbara County, California","423,895","404,453","295,124","8,513","5,485","20,665",806,"73,860",2010
227,"San Mateo County, California","764,442","670,175","300,188","15,707","6,812","230,242","9,302","107,924",2020
228,"Santa Clara County, California","1,781,642","1,694,394","836,616","46,428","12,960","570,524","7,060","220,806",2010
228,"Santa Barbara County, California","448,229","368,509","224,748","7,374","9,633","26,549",703,"99,502",2020
229,"Santa Cruz County, California","262,382","250,064","190,208","2,766","2,253","11,112",349,"43,376",2010
229,"Santa Clara County, California","1,936,259","1,726,791","622,617","44,966","22,142","759,030","6,904","271,132",2020
230,"Santa Cruz County, California","270,861","232,153","160,565","3,150","3,607","12,553",384,"51,894",2020
230,"Shasta County, California","177,223","169,387","153,726","1,548","4,950","4,391",271,"4,501",2010
231,"Sierra County, California","3,240","3,161","3,022",6,44,12,2,75,2010
231,"Shasta County, California","182,155","162,594","142,899","1,912","4,911","5,978",371,"6,523",2020
232,"Siskiyou County, California","44,900","42,526","38,030",571,"1,814",540,80,"1,491",2010
232,"Sierra County, California","3,236","2,848","2,703",7,24,7,1,106,2020
233,"Siskiyou County, California","44,076","39,026","33,597",496,"2,019",888,38,"1,988",2020
233,"Solano County, California","413,344","381,986","210,751","60,750","3,212","60,473","3,564","43,236",2010
234,"Solano County, California","453,491","387,034","175,768","62,157","5,388","72,766","4,162","66,793",2020
234,"Sonoma County, California","483,878","462,376","371,412","7,610","6,489","18,341","1,558","56,966",2010
235,"Sonoma County, California","488,863","422,842","306,684","7,615","8,855","22,845","1,840","75,003",2020
235,"Stanislaus County, California","514,453","486,666","337,342","14,721","5,902","26,090","3,401","99,210",2010
236,"Sutter County, California","94,737","89,440","57,749","1,919","1,365","13,663",281,"14,463",2010
236,"Stanislaus County, California","552,878","468,234","256,602","15,913","10,543","34,778","4,269","146,129",2020
237,"Sutter County, California","99,633","87,143","46,810","1,982","1,902","18,234",319,"17,896",2020
237,"Tehama County, California","63,463","60,761","51,721",406,"1,644",656,76,"6,258",2010
238,"Tehama County, California","65,829","57,985","44,926",420,"1,881","1,027",132,"9,599",2020
238,"Trinity County, California","13,786","13,074","12,033",59,655,94,16,217,2010
239,"Tulare County, California","442,179","423,755","265,618","7,196","6,993","15,176",509,"128,263",2010
239,"Trinity County, California","16,112","14,756","11,627",71,437,"2,222",32,367,2020
240,"Tuolumne County, California","55,365","53,342","48,274","1,143","1,039",572,76,"2,238",2010
240,"Tulare County, California","473,117","386,715","186,255","6,668","10,645","17,194",723,"165,230",2020
241,"Ventura County, California","823,318","786,377","565,804","15,163","8,068","55,446","1,643","140,253",2010
241,"Tuolumne County, California","55,620","49,947","44,207","1,009",984,816,123,"2,808",2020
242,"Yolo County, California","200,849","189,149","126,883","5,208","2,214","26,052",910,"27,882",2010
242,"Ventura County, California","843,843","698,662","428,677","15,330","14,573","64,923","1,723","173,436",2020
243,"Yuba County, California","72,155","67,068","49,332","2,361","1,675","4,862",293,"8,545",2010
243,"Yolo County, California","216,403","182,292","107,304","6,164","3,366","30,392","1,179","33,887",2020
244,"Adams County, Colorado","441,603","424,099","323,795","13,539","5,916","15,931",591,"64,327",2010
244,"Yuba County, California","81,575","69,802","46,590","3,052","1,754","5,774",405,"12,227",2020
245,"Alamosa County, Colorado","15,445","14,770","11,549",172,433,148,19,"2,449",2010
245,"Adams County, Colorado","519,572","428,280","289,718","17,463","9,520","23,268",925,"87,386",2020
246,"Arapahoe County, Colorado","572,003 (r39380)","547,646","415,910","58,107","4,363","29,077","1,140","39,049",2010
246,"Alamosa County, Colorado","16,376","13,470","10,069",251,709,180,19,"2,242",2020
247,"Archuleta County, Colorado","12,084","11,743","10,436",37,227,89,6,948,2010
247,"Arapahoe County, Colorado","655,070","572,238","396,027","70,787","6,820","42,472","1,777","54,355",2020
248,"Baca County, Colorado","3,788","3,729","3,506",24,51,6,0,142,2010
